Company Name,HeadQuarter,Sector,Amount($),Stage,Year Funded
Ekincare,Hyderabad,Healthcare,1500000.0,Series Stage ,2018
Streo,Gurgaon,Entertainment,1300000.0,Seed Stage ,2018
Groww,Kormangala,Finance,120000.0,Seed Stage ,2018
Cell Propulsion,Bangalore,Marketing,102339.1812865497,Seed Stage ,2018
Chezuba,Hyderabad,Technology,20467.83625730994,Others Stage ,2018
Ontrack Technologies Pvt. Ltd,Bangalore,E-Commerce,1300000.0,Seed Stage ,2018
Wealthtrust,Mumbai,Finance,500000.0,Seed Stage ,2018
Faclon Labs,Mumbai,Technology,1300000.0,Seed Stage ,2018
Awign Enterprises,Bangalore,Marketing,730994.1520467836,Seed Stage ,2018
CollPoll,Bangalore,Education,1300000.0,Seed Stage ,2018
Zyla Health,New Delhi,Healthcare,1300000.0,Seed Stage ,2018
Hubhopper,Delhi,Technology,500000.0,Series Stage ,2018
Rubix108 Technologies,Pune,Technology,1000000.0,Seed Stage ,2018
Workflexi,Bangalore,Marketing,146198.8304093567,Seed Stage ,2018
Streak,Bangalore,Finance,328947.3684210526,Seed Stage ,2018
Kuants,Gurgaon,Finance,73099.41520467836,Seed Stage ,2018
NiYO Solutions,Bangalore,Finance,13200000.0,Series Stage ,2018
Hippo Video,Chennai,Marketing,1300000.0,Seed Stage ,2018
Satvacart,Gurgaon,E-Commerce,1300000.0,Seed Stage ,2018
Daaki,Bangalore,Healthcare,1300000.0,Others Stage ,2018
Simulanis,New Delhi,Marketing,500000.0,Seed Stage ,2018
MY CHIRAAG CAB,Jaipur,Marketing,1000000.0,Seed Stage ,2018
WOTU,Bangalore,Marketing,1300000.0,Seed Stage ,2018
Flathalt,Gurgaon,Marketing,50000.0,Others Stage ,2018
True Elements,Pune,Marketing,730994.1520467836,Seed Stage ,2018
Trendlyne Technologies,Bangalore,Finance,200000.0,Seed Stage ,2018
Planys Technologies,Chennai,Marketing,2049707.6023391811,Series Stage ,2018
HealthPlix,Bangalore,Technology,3000000.0,Series Stage ,2018
dishq,Bengaluru,Marketing,400000.0,Seed Stage ,2018
Entropik Technology,Bengaluru,Technology,1100000.0,Seed Stage ,2018
myHQ,Delhi,Marketing,500000.0,Series Stage ,2018
Trell,Bangalore,Marketing,1250000.0,Seed Stage ,2018
Kidovators (by GyanLab),Bangalore,Technology,180000.0,Seed Stage ,2018
Log 9 Materials,Uttar Pradesh,Technology,438596.4912280701,Seed Stage ,2018
VTION,Gurgaon,Marketing,280701.7543859649,Seed Stage ,2018
HousingMan.com,Bengaluru,Marketing,1505847.9532163742,Seed Stage ,2018
Steradian Semiconductors,Bangalore,Marketing,1300000.0,Seed Stage ,2018
RupeeCircle,Mumbai,Finance,584795.3216374269,Seed Stage ,2018
Wooden Street,Jaipur,E-Commerce,1000000.0,Series Stage ,2018
The Ken,Bengaluru,Technology,1500000.0,Series Stage ,2018
SaffronStays,Mumbai,Marketing,2000000.0,Seed Stage ,2018
Vebbler,Bengaluru,Technology,1300000.0,Seed Stage ,2018
Foyr,Pune,Marketing,4200000.0,Series Stage ,2018
MEngage,Jaipur,Healthcare,175000.0,Seed Stage ,2018
Inner Being Wellness,Hyderabad,Marketing,511695.9064327485,Others Stage ,2018
Kobster,Chennai,E-Commerce,1300000.0,Seed Stage ,2018
Wishberry,Mumbai,Finance,1461988.3040935672,Series Stage ,2018
McXtra,Andheri,Finance,1300000.0,Seed Stage ,2018
Magic Crate,Bangalore,Education,1300000.0,Seed Stage ,2018
SmartVizX,Noida,Technology,1450000.0,Seed Stage ,2018
MySEODoc,Delhi,Marketing,1300000.0,Seed Stage ,2018
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Pune,Marketing,2923.9766081871344,Seed Stage ,2018
Scale Labs,Delhi,Marketing,1000000.0,Seed Stage ,2018
HungerBox,Bengaluru,Marketing,4500000.0,Series Stage ,2018
Biryani By Kilo,Noida,Marketing,1000000.0,Seed Stage ,2018
Wholesome Habits (EAT Anytime),Mumbai,Marketing,500000.0,Seed Stage ,2018
GoBumpr,Chennai,Transport,600000.0,Seed Stage ,2018
Fixpocket,Ahmedabad,Technology,250000.0,Seed Stage ,2018
edureka!,Bangalore,Technology,2000000.0,Series Stage ,2018
Hashtag Loyalty Private Limited,Mumbai,Marketing,1300000.0,Seed Stage ,2018
Wow Express,Mumbai,Transport,4500000.0,Series Stage ,2018
ZunRoof,Gurgaon,Marketing,242690.05847953213,Others Stage ,2018
Eggoz,Indore,Marketing,175438.59649122806,Others Stage ,2018
Sqrrl Fintech,Gurgaon,Technology,1000000.0,Seed Stage ,2018
GalaxyCard,Noida,Finance,1300000.0,Seed Stage ,2018
IndiQube,Bengaluru,Marketing,15000000.0,Series Stage ,2018
EGK Foods,Mumbai,Marketing,292397.6608187134,Seed Stage ,2018
NirogStreet,Gurgaon,Technology,300000.0,Seed Stage ,2018
Pixr8,Ghaziabad,Technology,50000.0,Seed Stage ,2018
Nivesh.com,Noida,Finance,438596.4912280701,Seed Stage ,2018
Theranosis Life Sciences,Hyderabad,Technology,1300000.0,Seed Stage ,2018
Poshmiles Online Solutions Private Limited,Bengaluru,Marketing,1300000.0,Seed Stage ,2018
Reculta,Noida,Education,1300000.0,Seed Stage ,2018
Orbo.ai,Mumbai,Technology,1300000.0,Seed Stage ,2018
Inntot Technologies,Kochi,Marketing,1300000.0,Seed Stage ,2018
Zoctr Health,Powai,Technology,1300000.0,Seed Stage ,2018
Hey Deedee,Mumbai,Transport,482456.14035087713,Seed Stage ,2018
DigiConnectt Technologys,Bengaluru,Technology,125000.0,Seed Stage ,2018
Locus.sh,Bangalore,Technology,4000000.0,Series Stage ,2018
Sports Flashes Pvt. Ltd,New Delhi,Entertainment,1000000.0,Seed Stage ,2018
Inc42,New Delhi,Technology,1300000.0,Seed Stage ,2018
Picxy,Guntur,Technology,130000.0,Seed Stage ,2018
Huddle,Haryana,Marketing,300000.0,Seed Stage ,2018
